,table_catalog,table_schema,table_name,partition_id,last_modified_time,total_rows
1429,edm-cloud-dwh-dev-0051,dev_cvm_analytic_tb,lth_tok_mass_offer_base_l2_stg2,20230317,2023-03-17 02:38:50.519000 UTC,46024094
1430,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20230121,,2023-01-22 13:02:57.951000 UTC,297742531
1431,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_adh_init_ar1_payment_activity,20210624,2022-04-08 20:17:38.234000 UTC,5370056
1432,edm-cloud-dwh-dev-0051,dev_xldf_acl_tb,f_d_fin_rev_glcost_detail_mochan,20221101,2022-11-09 07:32:57.144000 UTC,2714
1433,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20220917,,2022-09-19 11:46:09.142000 UTC,272952944
1434,edm-cloud-dwh-prod-9652,prd_xldf_itl_tb,f_d_cs_interact_today_ai,20230124,2023-01-30 07:52:13.019000 UTC,23165
1435,cvm-cloud-dwh-prod-4383,prd_xlcms_acl_tb,cms_log_response_unq,__NULL__,2022-06-09 22:06:05.231000 UTC,0
1436,datamart-cloud-dwh-prod-ca76,prd_cem_acl_tb,f_d_subs_post,20200510,2023-03-29 19:22:32.740000 UTC,1148428
1437,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,f_d_usg_nob_prepaid_gprs_matrix_odc,20230415,2023-04-17 21:07:13.147000 UTC,1882192
1438,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_soar_transactioncount,20190814,2023-04-10 15:30:19.274000 UTC,2599
1439,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,mccm_ax_booster_timeband_offer,__NULL__,2022-06-09 22:36:05.945000 UTC,0
1440,edm-cloud-dwh-prod-9652,prd_xldf_itl_tb,lup_det,20230417,2023-04-18 06:26:01.866000 UTC,5223806947
1441,datamart-cloud-dwh-prod-ca76,prd_cvmdm_itl_tb,f_d_xlc_typ_visit,__NULL__,2022-05-03 23:03:26.489000 UTC,0
1442,edm-cloud-dwh-prod-9652,prd_xldf_itl_tb,incoming_det,20211231,2022-01-24 02:01:39.517000 UTC,19964454
1443,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20230221,,2023-02-22 13:03:01.408000 UTC,302867448
1444,edm-cloud-dwh-dev-0051,dev_xldf_acl_tb,f_d_finodc_rev_glcc_nob_detail,20230228,2023-04-04 09:14:46.246000 UTC,724
1445,edm-cloud-dwh-prod-9652,prd_xldim_acl_tb,dim_finodc_nob_document_no,,2023-04-10 10:20:48.574000 UTC,24
1446,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,f_m_bts_tp,202303,2023-04-04 17:39:36.578000 UTC,83842933
1447,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_soar_payment_kpi_umb_151,20230417,2023-04-17 22:24:13.062000 UTC,2677
1448,edm-cloud-dwh-prod-9652,prd_bca,proctor_subs_cgi_dominant_day_temp,,2023-04-18 01:30:39.848000 UTC,46858032
1449,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,f_d_product_stats_axis,20211223,2022-01-18 08:27:30.147000 UTC,11
1450,cvm-cloud-dwh-prod-4383,prd_xlcms_stg_tb,dim_dealer_account,,2023-04-18 07:00:22.449000 UTC,0
1451,edm-cloud-dwh-prod-9652,prd_xldf_itl_tb,re_ari_pri_ts_upd,20200825,2021-11-19 10:29:22.103000 UTC,1562
1452,cvm-cloud-dwh-prod-4383,dev_xlcms_acl_tb,byop_offer,20230202,2023-02-13 03:18:24.994000 UTC,1544197
1453,datamart-cloud-dwh-prod-ca76,prd_cvmdm_acl_tb,f_d_subs_analytic,__NULL__,2022-06-09 21:50:43.622000 UTC,0
1454,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20230328,,2023-03-29 13:02:30.280000 UTC,308914846
1455,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20230405,,2023-04-06 13:02:46.332000 UTC,310411381
1456,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,mccm_nbo_base_hist_v2_arc,20211202,2022-04-25 10:00:17.220000 UTC,60136463
1457,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,f_d_fin_c2c_discrepancy_hist,20230417,2023-04-18 02:02:06.630000 UTC,30
1458,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,f_d_fin_c2c_inrd_hist,20230417,2023-04-18 02:02:08.844000 UTC,4896
1459,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20230120,,2023-01-21 13:03:09.789000 UTC,297602815
1460,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_sapdi_zddmm_eket,20220815,2023-04-17 23:14:02.805000 UTC,156
1461,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,ftth_rpt_revenue_invoice_stg,,2022-04-07 21:12:06.590000 UTC,7087
1462,datamart-cloud-dwh-prod-ca76,prd_cem_acl_tb,f_d_subs_post_r3,20190922,2022-12-28 04:34:03.094000 UTC,1083806
1463,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,trello_card_labels_cx,20230418,2023-04-18 13:42:24.200000 UTC,818
1464,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,tono_nbo_visitor_disc,20220222,2022-06-15 04:44:45.908000 UTC,25
1465,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20220914,,2022-09-15 07:34:27.611000 UTC,272320065
1466,cvm-cloud-dwh-prod-4383,prd_xlcms_acl_tb,cms_log_taker,20230415,2023-04-17 08:39:26.352000 UTC,442444
1467,edm-cloud-dwh-dev-0051,xl_data_bicc,swe_usage_stats_7d_d4,__NULL__,2022-05-31 08:35:20.317000 UTC,0
1468,edm-cloud-dwh-dev-0051,prd_xldim_acl_tb,dim_c360_master_script,,2023-04-12 09:15:58.374000 UTC,1172
1469,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_adh_inc_ar1_deposit_reason,__NULL__,2022-02-26 20:52:35.844000 UTC,0
1470,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,mccm_xl_frequency_offer_profile_temp,,2022-12-04 09:43:06.445000 UTC,8638838
1471,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_ftth_l0_customer_profile,,2022-02-26 20:55:29.373000 UTC,420918
1472,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_sf_opportunity_line_item,20230417,2023-04-17 23:32:30.340000 UTC,51851
1473,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20230219,,2023-02-20 13:02:45.857000 UTC,302643160
1474,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20230402,,2023-04-03 13:02:59.108000 UTC,309725474
1475,edm-cloud-dwh-prod-9652,prd_xldf_itl_tb,f_d_direct_gross_rev,20230416,2023-04-17 23:50:09.023000 UTC,7265916
1476,cvm-cloud-dwh-prod-4383,dev_xlcms_acl_tb,byop_offer_buckets,20230202,2023-02-13 06:08:16.567000 UTC,812400
1477,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,lth_mccm_algo_offer_priority_segment_code,,2023-01-02 04:34:23.573000 UTC,6
1478,datamart-cloud-dwh-prod-ca76,prd_bca,colossus_l1_pktwg_d,20230417,2023-04-18 01:03:06.278000 UTC,3131967
1479,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20221121,,2022-11-22 13:03:14.277000 UTC,284918668
1480,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20220910,,2022-09-11 22:09:43.182000 UTC,271617660
1481,edm-cloud-dwh-prod-9652,prd_xldim_acl_tb,dim_fin_val_group,,2022-08-16 01:44:02.613000 UTC,12
1482,edm-cloud-dwh-dev-0051,prd_xldf_stg_tb,f_d_usg_nrt,20230411,2023-04-14 13:58:47.086000 UTC,61026634
1483,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20230315,,2023-03-16 13:02:29.461000 UTC,306903006
1484,datamart-cloud-dwh-prod-ca76,prd_bca,f_d_subs_cgi_ogr_new,20230417,2023-04-18 14:16:14.246000 UTC,1185260262
1485,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20221021,,2022-10-22 13:02:57.945000 UTC,279534675
1486,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20220925,,2022-09-26 13:03:21.465000 UTC,274310996
1487,edm-cloud-dwh-prod-9652,prd_xldf_acl_tb,f_m_sp_deact_matrix,20230331,2023-04-06 08:17:42.538000 UTC,4
1488,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,f_d_digi1_activationkpi,20230417,2023-04-17 20:58:28.466000 UTC,2904
1489,edm-cloud-dwh-prod-9652,prd_xldf_stg_tb,name_data,,2021-11-20 09:48:45.626000 UTC,46417833
1490,cvm-cloud-dwh-prod-4383,prd_cvm_analytic_tb,cvm_model_score_hist,__NULL__,2022-06-09 22:37:05.568000 UTC,0
1491,cvm-cloud-dwh-prod-4383,prd_xlcms_acl_tb,t_translation_x,,2021-12-23 15:57:51.135000 UTC,1
1492,edm-cloud-dwh-prod-9652,prd_bca,ga_real_mini_20220922,,2022-09-23 23:43:14.744000 UTC,273863382
